"word","count"
"する","731473"
"いる","299119"
"こと","146881"
"なる","141591"
"ある","140456"
"いう","111423"
"人","82184"
"年","78619"
"ない","76402"
"さん","71855"
"日","63486"
"よう","57790"
"その","53233"
"できる","52739"
"この","49155"
"思う","47030"
"月","46747"
"日本","36448"
"よる","35983"
"くる","35644"
"写真","34540"
"円","33574"
"もの","32936"
"ため","32897"
"コロナ","32798"
"お","32777"
"中","30949"
"これ","30882"
"第","30755"
"それ","29743"
"見る","28242"
"月日","28146"
"そう","27986"
"つく","27636"
"いく","27564"
"万","24850"
"たち","24778"
"また","23989"
"自分","23781"
"時","23329"
"位","22004"
"さ","21405"
"氏","21255"
"新型","21170"
"回","20666"
"目","20558"
"発表","20320"
"前","20313"
"言う","20153"
"試合","20103"
"行う","19391"
"選手","19194"
"時間","19047"
"しまう","18858"
"感染","18857"
"一","18625"
"いい","18557"
"後","18523"
"今","18334"
"ら","18313"
"東京","18209"
"今回","17780"
"多い","17346"
"歳","17276"
"やる","17116"
"方","17000"
"世界","16173"
"監督","16041"
"私","16036"
"約","15858"
"みる","15839"
"公開","15795"
"チーム","15768"
"おる","15763"
"くれる","15729"
"ウイルス","15720"
"受ける","14895"
"考える","14766"
"出る","14723"
"何","14703"
"分","14660"
"ところ","14654"
"そして","14442"
"女性","14081"
"初","13823"
"使う","13770"
"持つ","13759"
"年月日","13601"
"大","13548"
"以上","13451"
"さらに","13177"
"上","12823"
"どう","12673"
"放送","12653"
"映画","12614"
"対する","12570"
"高い","12534"
"戦","12532"
"話","12464"
"数","12361"
"語る","12287"
"内","12205"
"代表","12076"
"とき","12036"
"彼","11976"
"撮影","11892"
"入る","11890"
"作品","11823"
"開催","11818"
"配信","11711"
"現在","11566"
"知る","11561"
"ファン","11553"
"テレビ","11528"
"僕","11288"
"出演","11271"
"必要","11250"
"続ける","11148"
"人気","10979"
"登場","10976"
"そんな","10958"
"声","10942"
"同","10938"
"しかし","10928"
"動画","10809"
"おく","10670"
"続く","10590"
"影響","10589"
"予定","10566"
"今年","10524"
"そこ","10461"
"番組","10340"
"時代","10318"
"聞く","10271"
"情報","10255"
"姿","10242"
"場合","10175"
"行く","9947"
"新","9870"
"億","9840"
"とる","9822"
"良い","9798"
"画像","9787"
"ドラマ","9683"
"とも","9674"
"発売","9672"
"元","9553"
"強い","9545"
"感ずる","9539"
"作る","9526"
"結果","9493"
"代","9471"
"ほか","9366"
"自身","9326"
"大会","9313"
"状況","9256"
"つ","9200"
"点","9179"
"コメント","9176"
"大学","9169"
"シーズン","9133"
"問題","9076"
"同じ","9043"
"本","9032"
"新た","9016"
"気","9011"
"役","8959"
"確認","8912"
"男性","8906"
"販売","8906"
"話す","8893"
"出場","8860"
"他","8741"
"間","8730"
"ライブ","8730"
"紹介","8717"
"モデル","8617"
"ここ","8617"
"リーグ","8581"
"活動","8519"
